Year,FFR,APR,PrimeCreditRate,Mortgage Rates,SPX,BUSE,THFF,ASB,HTLF,CFR,CBSH,EWBC,WBS,BUSE NII,THFF NII,ASB NII,HTLF NII,CFR NII,CBSH NII,EWBC NII,WBS NII,BUSE IOD,THFF IOD,ASB IOD,HTLF IOD,CFR IOD,CBSH IOD,EWBC IOD,WBS IOD,BUSE Loan Default,THFF Loan Default,ASB Loan Default,HTLF Loan Default,CFR Loan Default,CBSH Loan Default,EWBC Loan Default,WBS Loan Default
2006,4.956153846,7.950576923,5.950576923,6.413269231,1311.401731,63.97326923,30.87846154,32.94596154,25.06423077,56.21,22.2,38.22,47.66,76.5,73.7,669.5,104.7,469.5,513.2,367.5,508.6,55,37.3,364,62.5,155.1,240.2,200.3,310.2,1.3,7,19.1,3.9,14.2,25.6,6.2,11
2007,5.035,8.0625,5.881153846,6.337307692,1477.214038,63.51980769,30.01442308,31.14673077,23.15634615,52.13,21.59,35.42,42.44,101.5,74.8,643.8,109.3,518.7,538.1,408,508.2,84.2,42,403.4,77.9,190.2,300.8,241,361.3,14.5,6.6,34.5,10.1,14.7,42.7,12,67.8
2008,1.986153846,5.151346154,2.456923077,6.045,1220.8025,52.59230769,34.75615385,22.53961538,20.89038462,54.12,21.23,15.11,22.84,123.2,81.5,696.1,115.7,534,592.7,355.2,505.8,81.2,32.7,263.3,64.1,104.9,194.1,178.1,250.2,98.3,7.9,202.1,29.3,37.8,108.9,226,186.3
2009,0.159230769,3.25,0.5,5.036538462,950.1298077,20.08730769,32.65,13.01634615,14.28019231,47.47,18.27,9.03,8.82,114.4,87,726,132.8,536.7,635.5,485.7,495.4,60.1,21.5,160.9,52.7,56,118.8,129.5,180.8,251.5,11.9,750.6,39.4,65.4,160.7,528.7,303
2010,0.175769231,3.25,0.715576923,4.689807692,1139.362885,13.2875,29.14596154,13.36423077,16.21942308,54.53,20.52,17.02,17.7,117.2,96.6,633.8,143.1,563.5,645.9,894.7,537.3,32.7,16.3,106,38.3,30,66,116.7,112.6,42,9.2,390,32.5,43.6,100,200.2,115
2011,0.102692308,3.25,0.75,4.447884615,1268.168846,14.93134615,31.57480769,12.66423077,15.27846154,54.41,22.42,19.77,20.37,110.4,99.2,612.8,145.4,581.8,646.1,903,563.8,18.7,12.1,65.7,29.2,22.2,46.5,107.1,80.8,20,5.8,52,29.4,27.4,51.5,95,22.5
2012,0.139423077,3.25,0.75,3.6575,1380.16,14.32730769,30.72519231,12.98038462,22.01,56.35,22.76,22.05,21.61,102.1,108.9,626,150.2,604.9,639.9,918.9,578.9,12.5,8.5,411.4,22.2,18.1,33.8,75.9,59.6,16.5,8.8,10.1,8.2,10.1,27.3,65.2,21.5
2013,0.109423077,3.25,0.75,3.975576923,1645.530962,14.6175,31.99326923,15.63269231,26.82903846,67,26.44,28.9,25.73,100.1,107.3,645.5,163.8,620.6,619.4,956.2,596.7,7.1,5.9,31.3,20,14.5,26.7,63.5,46.6,7.5,7.9,10.1,9.7,20.6,20.4,22.4,33.5
2014,0.087884615,3.25,0.75,4.174615385,1931.211538,17.50846154,32.78211538,17.73,25.25288462,76.34,28.99,35.31,30.55,101.6,107.8,681,203.1,686.9,620.2,1040.90,628.4,5.1,4.6,26.3,18.2,11,23.6,65.5,44.2,2,5.1,16,14.5,16.3,29.5,49.2,37.3
2015,0.133269231,3.259615385,0.759615385,3.850576923,2060.633269,19.72057692,34.30769231,18.98153846,34.28807692,68.59,30.11,41.15,36.63,111.8,104.5,676.3,234,736.6,634.3,950.4,644.6,4.8,3.9,33.1,15.5,9,22.7,73.5,46,1.6,4.7,37.5,12.7,51.8,28.7,14.2,49.3
